name,location,price,area,bhk
vgk sri sai enclave,"3 Bedroom House in Perungalathur, Chennai",₹1.1 Cr,"1,750 sqft",3 BHK
S and P Signature Villas,"2 Bedroom House in New perungalathur, Perungalathur",₹90 Lac,"1,182 sqft",2 BHK
Marutham Neptune,"3 BHK Flat in Koyambedu, Chennai",₹1.36 Cr,"1,373 sqft",3 BHK
"Shriram Park 63
3.8","2 BHK Flat in Perungalathur, Chennai",₹1.1 Cr,"1,375 sqft",2 BHK
Vellisaara apartment,"2 BHK Flat in Kattupakkam, Chennai",₹55 Lac,900 sqft,2 BHK
"Fomra Hues
4.0","2 BHK Flat in Porur, Chennai",₹86 Lac,950 sqft,2 BHK
On Request,"3 BHK Flat in Manapakkam, Chennai",₹90 Lac,892 sqft,3 BHK
SAI SRI,"1 BHK Flat in Rajakilpakkam, Chennai",₹40.67 Lac,581 sqft,1 BHK
hiliving royal evita,"3 BHK Flat in Madhavaram, Chennai",₹1 Cr,"1,392 sqft",3 BHK
"Mangadu, Chennai, Chennai West","2 Bedroom House in Mangadu, Chennai",₹78 Lac,880 sqft,2 BHK
Tulive Azpire,"2 BHK Flat in West Tambaram, Chennai South",₹60 Lac,952 sqft,2 BHK
on request,"3 BHK Flat in Karpagam Gardens, Adyar",₹3.5 Cr,"1,800 sqft",3 BHK
prop guider stepstone vatsa,"2 BHK Flat in Kattupakkam, Chennai",₹66 Lac,920 sqft,2 BHK
prop guider stepstone vatsa,"3 BHK Flat in Kattupakkam, Chennai",₹85 Lac,"1,186 sqft",3 BHK
"Fomra Hues
4.0","3 BHK Flat in Porur, Chennai",₹1.15 Cr,"1,525 sqft",3 BHK
"Propguider,Hanging Gardens","3 BHK Flat in Valasaravakkam, Chennai",₹1.79 Cr,"1,135 sqft",3 BHK
Godrej Azure,"2 BHK Flat in Padur, Chennai",₹85 Lac,"1,001 sqft",2 BHK
Urbanrise Revolution One,"2 BHK Flat in Padur, Chennai",₹46 Lac,663 sqft,2 BHK
"Mangadu, Chennai, Chennai West","2 Bedroom House in Mangadu, Chennai",₹95 Lac,"1,073 sqft",2 BHK
"Ayappakkam, Chennai, Chennai West","3 Bedroom House in Ayappakkam, Chennai",₹1.55 Cr,"1,000 sqft",3 BHK
"Kundrathur, Chennai, Chennai South","3 Bedroom House in Kundrathur, Chennai",₹1.05 Cr,"1,000 sqft",3 BHK
VGN Fairmont,"2 BHK Flat in Guindy, Chennai South",₹1.4 Cr,"1,291 sqft",2 BHK
"Kundrathur, Chennai, Chennai South","3 Bedroom House in Kundrathur, Chennai",₹1.05 Cr,"1,000 sqft",3 BHK
"Perungavoor, Chennai, Chennai North","1 Bedroom House in Perungavoor, Chennai",₹33 Lac,600 sqft,1 BHK
"Kovur, Chennai, Chennai South","3 Bedroom House in Kovur, Chennai",₹1.1 Cr,"1,000 sqft",3 BHK
"Kolapakkam, Chennai, Chennai South","3 Bedroom House in Kolapakkam, Chennai",₹1.65 Cr,"1,250 sqft",3 BHK
Neel Kamal Apartment,"2 BHK Flat in Siruseri, Chennai",₹34 Lac,930 sqft,2 BHK
Neel Kamal Apartment,"2 BHK Flat in Siruseri, Chennai",₹32 Lac,885 sqft,2 BHK
Brightstone,"3 BHK Flat in Gandhi Nagar,Adyar, Chennai",₹3.35 Cr,"1,835 sqft",3 BHK
"Alandur, GST Road, Chennai South","5 Bedroom House in Alandur, GST Road",₹3.49 Cr,"3,096 sqft",5 BHK
step stone vatsa,"2 BHK Flat in Porur, Chennai",₹61 Lac,889 sqft,2 BHK
Velliswara,"2 BHK Flat in Kattupakkam, Chennai",₹55 Lac,850 sqft,2 BHK
Vellisaara apartment,"2 BHK Flat in Mangadu, Chennai",₹55 Lac,900 sqft,2 BHK
Vellisaara apartment,"1 BHK Flat in Kattupakkam, Chennai",₹32 Lac,535 sqft,1 BHK
"doshi risington ,karapakakm","2 BHK Flat in Karapakkam, OMR",₹90 Lac,987 sqft,2 BHK
"Provident Cosmo City
3.9","3 BHK Flat in Pudupakkam Village, Chennai",₹42 Lac,"1,062 sqft",3 BHK
"Mangadu, Chennai, Chennai West","2 Bedroom House in Mangadu, Chennai",₹80 Lac,900 sqft,2 BHK
TVS Emerald Aaranya,"2 Bedroom House in Medavakkam, Chennai",₹1.5 Cr,"1,519 sqft",2 BHK
SK New flats,"2 BHK Flat in Keelkattalai, Chennai",₹78.75 Lac,"1,050 sqft",2 BHK
SK New flats,"3 BHK Flat in Keelkattalai, Chennai",₹1.15 Cr,"1,539 sqft",3 BHK
"Kundrathur, Chennai, Chennai South","2 Bedroom House in Kundrathur, Chennai",₹82 Lac,875 sqft,2 BHK
"Mangadu, Chennai, Chennai West","2 Bedroom House in Mangadu, Chennai",₹85 Lac,"1,000 sqft",2 BHK
"Mangadu, Chennai, Chennai West","2 Bedroom House in Mangadu, Chennai",₹78 Lac,640 sqft,2 BHK
"Mangadu, Chennai, Chennai West","3 Bedroom House in Mangadu, Chennai",₹1.25 Cr,900 sqft,3 BHK
"Iyyappanthangal, Chennai, Chennai West","3 Bedroom House in Iyyappanthangal, Chennai",₹1.4 Cr,888 sqft,3 BHK
"Mangadu, Chennai, Chennai West","3 Bedroom House in Mangadu, Chennai",₹97 Lac,800 sqft,3 BHK
